dt,Производство арматуры Сортовой прокат_Арматура,Производство арматуры Сортовой прокат_Катанка,Производство арматуры Сортовой прокат_Прутки прочие,Производство сырья ЖРС_Агломерат,Производство сырья ЖРС_Аглоруда,Производство сырья ЖРС_Концентрат,Производство сырья ЖРС_Концентрат для дообогащения,Производство сырья ЖРС_Окатыши,Производство сырья Кокс_Кокс валовый,Производство сырья Концентрат коксующегося угля_Жирные,Производство сырья Концентрат коксующегося угля_Коксовые,Производство сырья Концентрат коксующегося угля_Отощающие,Производство сырья Металлизованная продукция_ГБЖ,Производство сырья Металлизованная продукция_ПВЖ,Производство сырья Рядовой коксующийся уголь_Газовые,Производство сырья Рядовой коксующийся уголь_Жирные,Производство сырья Рядовой коксующийся уголь_Коксовые,Производство сырья Рядовой коксующийся уголь_Отощающие,Производство сырья Сталь_Конвертер,Производство сырья Сталь_Мартен,Производство сырья Сталь_Сталь всего,Производство сырья Сталь_Электропечь,Производство сырья Чугун_Чугун,ПотреблениеЖРС_Концентрат,ПотреблениеЖРС_Агломерат,ПотреблениеЖРС_Окатыши,ПотреблениеЖРС_Концентрат для дообогащения,ПотреблениеЖРС_Аглоруда,Поставки Сортовой прокат_Арматура,Поставки Сортовой прокат_Катанка,Поставки Сортовой прокат_Прутки прочие,Поставки Концентрат коксующегося угля_Жирные,Поставки Концентрат коксующегося угля_Коксовые,Поставки Концентрат коксующегося угля_Отощающие,Поставки Кокс_Кокс доменный,Поставки Чугун_Литейный чугун,Поставки Чугун_Передельный чугун,Поставки ЖРС_Агломерат,Поставки ЖРС_Аглоруда,Поставки ЖРС_Концентрат,Поставки ЖРС_Концентрат для дообогащения,Поставки ЖРС_Окатыши,Спрос ЖРС_Агломерат,Спрос ЖРС_Аглоруда,Спрос ЖРС_Концентрат,Спрос ЖРС_Концентрат для дообогащения,Спрос ЖРС_Окатыши,Спрос Металлизованная продукция_ГБЖ,Спрос Кокс_Кокс доменный,Спрос Концентрат коксующегося угля_Жирные,Спрос Концентрат коксующегося угля_Коксовые,Спрос Концентрат коксующегося угля_Отощающие,Импорт сырья ЖРС_Концентрат,Импорт сырья ЖРС_Окатыши,Импорт сырья Концентрат коксующегося угля_Жирные,Импорт сырья Концентрат коксующегося угля_Коксовые,Импорт арматуры Сортовой прокат_Арматура,Импорт арматуры Сортовой прокат_Катанка,Импорт арматуры Сортовой прокат_Прутки прочие,Экспорт сырья ЖРС_Агломерат,Экспорт сырья ЖРС_Аглоруда,Экспорт сырья ЖРС_Концентрат,Экспорт сырья ЖРС_Окатыши,Экспорт сырья Кокс_Кокс доменный,Экспорт сырья Кокс_Мелочь коксовая,Экспорт сырья Кокс_Орешек коксовый,Экспорт сырья Концентрат коксующегося угля_Жирные,Экспорт сырья Концентрат коксующегося угля_Коксовые,Экспорт сырья Концентрат коксующегося угля_Отощающие,Экспорт сырья Лом_Лом коррозионностойкой стали,Экспорт сырья Лом_Лом стальной,Экспорт сырья Лом_Лом чугуна,Экспорт сырья Металлизованная продукция_Всего отгружено с предприятия,Экспорт сырья Металлизованная продукция_ГБЖ,Экспорт сырья Чугун_Всего отгружено с предприятия,Экспорт сырья Чугун_Литейный чугун,Экспорт сырья Чугун_Передельный чугун,Экспорт арматуры Сортовой прокат_Арматура,Экспорт арматуры Сортовой прокат_Катанка,Экспорт арматуры Сортовой прокат_Прутки прочие
2017-09-30,667,241,265,5001,512,9486,526,4299,2353,2723,2386,315,379,266,336,3701,2125,1387,3928,159,6101,2014,4317,3610,368,2606,480,507,581,166,193,1399,1601,94,412,1,37,368,507,3125,480,2380,368,507,3610,480,2605,122,423,1606,1395,94,485,225,0,63,70.0,9.0,10.0,0,0,195,196,0,0,0,99,64,0,0,0,0,0,0,0,0,0,87,75,72
2017-10-31,704,264,266,5084,499,9474,528,4572,2354,2701,2386,374,364,171,422,3741,2190,1172,4004,155,6181,2022,4394,3799,353,2520,511,477,626,185,189,1471,1662,96,477,2,52,353,478,3364,511,2321,353,478,3799,511,2521,99,491,1643,1491,96,435,200,0,47,83.0,10.0,10.0,0,0,239,282,0,0,0,55,123,0,0,0,0,0,0,0,0,0,91,82,76
2017-11-30,672,259,244,4784,474,9168,556,4542,2290,2825,2259,274,384,228,308,3640,2158,1126,3871,153,5965,1939,4279,3559,376,2505,403,470,555,162,176,1521,1541,76,426,0,35,376,471,3135,404,2332,376,471,3560,404,2509,94,438,1692,1370,76,425,175,0,68,83.0,18.0,8.0,0,0,209,489,0,0,0,93,129,0,0,0,0,0,0,0,0,0,113,98,66
2017-12-31,564,186,268,4979,422,9470,487,4503,2509,2893,2395,276,336,284,299,4205,2191,1104,3819,144,5962,1997,4330,3499,346,2519,516,426,484,155,177,1444,1679,63,413,1,32,346,426,3044,516,2320,346,426,3499,516,2522,74,422,1618,1506,63,455,200,0,81,66.0,4.0,8.0,0,0,185,425,7,6,0,80,99,0,0,0,0,0,0,0,0,0,78,32,94
2018-01-31,497,184,243,4855,379,8969,478,4484,2282,2692,2180,428,362,274,510,3749,2054,1135,4030,156,5994,1807,4422,3755,407,2765,411,366,381,144,167,1492,1524,72,410,2,43,408,365,3303,410,2566,408,365,3758,410,2766,92,421,1678,1339,72,455,200,0,68,66.0,8.0,11.0,0,0,168,457,0,0,0,40,80,33,0,0,0,0,0,0,0,0,117,40,79
2018-02-28,630,215,253,5240,401,9469,467,4627,2314,2539,2314,353,407,287,404,3806,2057,1244,4132,176,6290,1981,4603,4021,412,2858,397,378,454,149,181,1461,1766,67,464,0,69,412,379,3573,397,2661,412,379,4023,397,2861,87,476,1666,1562,67,450,200,0,44,69.0,29.0,7.0,0,0,102,486,27,0,2,28,75,0,0,0,0,0,0,0,0,0,178,68,75
2018-03-31,530,205,240,5223,400,9382,485,4761,2370,2482,2063,255,425,286,282,3764,1798,1175,4061,133,6171,1978,4530,3791,391,2823,346,395,418,156,173,1334,1519,61,436,1,29,391,395,3376,346,2662,391,395,3791,346,2822,86,449,1541,1313,61,415,160,0,21,84.0,5.0,6.0,0,70,142,676,29,0,3,29,24,0,0,0,0,0,0,0,0,0,113,49,66
2018-04-30,491,204,248,4595,395,8537,508,4247,2046,2479,2053,287,375,253,306,3458,1857,1226,3533,173,5542,1837,3989,3593,365,2455,472,340,389,165,176,1305,1413,65,373,3,41,365,341,3203,472,2324,365,341,3593,472,2454,94,386,1493,1227,65,390,130,0,10,66.0,21.0,6.0,0,50,205,415,28,0,2,112,146,0,0,0,0,0,0,0,0,0,103,41,76
2018-05-31,621,237,275,4884,391,9597,583,4866,2282,2959,2203,374,435,286,335,4090,2041,1284,4107,140,6322,2076,4470,3938,347,2579,469,368,497,182,183,1507,1517,137,425,1,46,347,368,3507,469,2449,347,368,3937,469,2579,74,434,1755,1272,137,430,130,11,0,61.0,22.0,7.0,0,50,299,264,29,0,4,189,145,0,0,0,0,0,0,0,0,53,125,54,90
2018-06-30,594,223,273,4922,387,9459,451,4869,2134,2677,2359,283,413,277,293,3980,2031,1223,3899,137,6131,2096,4332,3951,375,2775,425,328,501,182,187,1391,1513,85,410,2,57,375,327,3467,425,2594,375,327,3952,425,2774,74,418,1604,1300,85,485,180,0,21,38.0,14.0,8.0,0,8,235,530,29,2,9,147,159,0,0,0,0,0,0,0,0,0,92,40,87
2018-07-31,680,268,254,5023,439,9708,526,4916,2217,2584,2245,283,430,286,264,3686,2008,1416,3908,133,6200,2160,4255,3843,420,2866,410,438,577,215,182,1382,1463,79,383,2,37,421,438,3354,410,2716,421,438,3844,410,2866,80,389,1597,1248,79,490,150,0,35,84.0,17.0,10.0,0,11,198,636,16,4,7,55,116,0,0,0,0,0,0,0,0,0,102,54,70
2018-08-31,654,222,270,4932,431,9744,540,4725,2214,1514,1413,75,438,223,340,3457,2055,1412,3908,104,6140,2128,4342,3924,403,2706,464,493,545,179,210,1379,1548,75,413,2,48,404,493,3425,465,2560,404,493,3925,465,2707,89,421,1597,1330,75,500,147,0,27,63.0,45.0,11.0,0,27,191,499,14,6,9,81,217,0,0,0,0,0,0,0,0,0,109,43,61
2018-09-30,626,302,250,5123,480,9710,506,4882,2310,2758,2580,300,308,286,268,3719,2346,1487,4060,126,6403,2217,4458,3905,401,2861,422,474,515,233,198,1447,1698,93,428,2,34,401,476,3410,423,2710,401,476,3905,423,2860,65,441,1695,1450,93,495,150,0,30,83.0,10.0,10.0,0,38,149,644,24,6,8,108,292,0,0,0,0,0,0,0,0,0,112,69,53
2018-10-31,705,293,274,4814,416,9813,568,4809,2328,2779,2395,363,320,226,362,3993,2116,1410,3894,136,6161,2130,4360,3929,386,3001,379,412,597,232,218,1476,1527,89,449,2,40,386,412,3446,379,2790,386,412,3930,379,3000,80,458,1659,1345,89,484,210,0,40,86.0,25.0,8.0,0,58,324,639,14,6,10,117,219,0,0,0,0,0,0,0,0,0,107,61,56
2018-11-30,709,304,254,4615,409,9497,527,4716,2211,2547,2233,363,348,277,343,3776,2267,1305,3702,125,5889,2062,4132,3681,357,2677,382,347,615,223,201,1421,1428,100,418,1,45,358,348,3166,381,2495,358,348,3682,381,2675,76,426,1594,1255,100,516,180,0,38,77.0,35.0,9.0,0,63,397,435,62,3,7,107,156,0,0,0,0,0,0,0,0,0,91,80,53
2018-12-31,709,276,269,4658,425,10009,495,4813,2241,2885,2383,304,368,231,324,4047,2311,1304,3673,139,5936,2124,4236,3765,389,2846,397,411,604,204,214,1612,1539,79,440,1,47,389,410,3264,397,2655,389,410,3764,397,2845,67,452,1807,1345,79,500,190,0,43,53.0,16.0,14.0,0,53,372,407,33,10,21,141,136,0,0,0,0,0,0,0,0,0,107,73,56
2019-01-31,567,262,253,4201,377,9835,518,4692,2236,2735,2249,351,375,277,362,3649,2344,1375,3817,171,5831,1845,4276,3885,370,2780,474,392,486,175,194,1617,1443,75,442,2,56,370,392,3505,475,2578,370,392,3885,475,2779,77,451,1738,1322,75,380,201,0,34,63.0,0.0,14.0,0,65,204,490,48,8,16,103,139,0,0,0,0,0,0,0,0,18,83,87,58
2019-02-28,695,258,255,4843,429,9678,583,4812,2334,2739,2227,288,387,226,281,3677,2118,1142,4051,134,6243,2057,4456,4113,387,3028,421,374,585,186,191,1506,1539,93,438,2,37,388,376,3592,420,2828,388,376,4112,420,3029,69,449,1592,1453,93,520,201,0,49,40.0,26.0,11.0,0,79,352,512,65,7,5,228,191,0,0,0,0,0,0,0,0,13,110,71,61
2019-03-31,634,245,252,4967,358,9688,556,4937,2363,3051,2266,358,421,285,322,4193,2093,1404,4142,132,6204,1929,4513,3999,386,2755,483,318,537,192,194,1705,1460,103,417,0,40,386,318,3548,483,2591,386,318,3998,483,2757,75,430,1779,1386,103,450,166,0,20,9.0,0.0,6.0,0,70,163,334,31,7,6,345,195,0,0,0,0,0,0,0,0,5,95,53,58
2019-04-30,595,238,239,4543,325,8712,486,4401,2124,2739,2060,323,413,262,306,3918,1661,1211,3733,101,5737,1903,4079,3590,373,2580,398,341,495,174,163,1444,1267,93,405,0,29,374,340,3216,398,2378,374,340,3591,398,2581,83,415,1458,1253,93,375,203,0,28,60.0,33.0,7.0,0,92,192,402,27,7,9,216,149,0,0,0,0,0,0,0,0,14,100,65,76
2019-05-31,684,285,247,5017,430,9664,573,4842,2302,3135,2468,370,420,289,354,4369,2212,1535,3925,138,6145,2082,4354,4085,355,3081,511,325,533,213,184,1760,1458,103,432,4,38,355,324,3548,511,2888,355,324,4084,511,3080,99,438,1798,1420,103,536,192,0,44,69.0,47.0,11.0,0,92,353,609,31,9,8,253,265,0,0,0,0,0,0,0,0,40,151,74,61
2019-06-30,731,290,263,4677,342,9732,582,4825,2229,2827,2393,417,408,276,432,3852,2151,1521,3702,143,5836,1991,4104,3963,404,2863,514,361,613,214,196,1273,1490,92,408,1,29,403,360,3469,514,2671,403,360,3962,514,2863,76,415,1415,1349,92,493,192,0,32,45.0,43.0,10.0,0,94,357,499,18,9,9,270,291,0,0,0,0,0,0,0,0,2,118,74,69
2019-07-31,787,262,233,4942,261,10145,438,4975,2263,3124,2646,346,430,286,312,3917,2647,1924,4036,91,6301,2174,4338,4088,428,2791,338,273,667,195,165,1491,1546,103,366,2,33,427,272,3523,338,2601,427,272,4091,338,2793,95,376,1596,1441,103,568,192,0,27,74.0,52.0,11.0,0,7,349,738,33,13,12,310,328,0,0,0,0,0,0,0,0,18,120,67,70
2019-08-31,790,212,238,4699,367,9786,556,4748,2148,2772,2328,246,434,229,207,4026,1978,1631,3832,143,6064,2089,4116,4079,392,2335,476,276,673,166,166,1552,1581,96,330,1,37,392,275,3530,476,2100,392,275,4081,476,2333,80,341,1722,1411,96,551,233,0,33,68.0,35.0,5.0,0,0,289,370,49,11,5,315,265,0,0,0,0,0,0,0,0,24,116,48,69
2019-09-30,779,249,239,4755,390,10125,589,4794,2226,2970,2269,326,450,286,330,4252,1924,1430,3829,136,6069,2103,4258,3917,346,2653,471,385,656,212,191,1533,1361,75,356,2,26,346,384,3453,472,2432,346,384,3921,472,2653,96,366,1579,1315,75,468,221,0,28,65.0,54.0,7.0,0,5,247,357,48,7,11,414,302,0,0,0,0,0,0,0,0,23,123,37,49
2019-10-31,755,265,257,4866,416,10009,626,4583,2262,3023,2350,279,424,221,251,4356,1863,1699,3848,141,5980,1991,4312,4005,390,2498,523,423,653,232,211,1690,1319,98,356,4,23,390,422,3447,523,2285,390,422,4007,523,2497,78,367,1752,1181,98,560,212,0,31,68.0,38.0,11.0,0,97,221,396,25,10,7,369,348,0,0,18,0,0,0,0,0,32,98,35,48
2019-11-30,728,226,235,4513,412,9952,556,4737,2188,3080,2231,166,323,279,89,4378,2105,1531,3873,133,5903,1898,4159,3547,391,2648,446,381,630,186,176,1561,1189,82,358,5,31,391,380,3057,446,2447,391,380,3547,446,2647,68,366,1639,1070,82,490,200,0,29,44.0,21.0,9.0,0,0,350,452,25,11,6,298,223,0,0,0,0,0,0,0,0,29,96,42,59
2019-12-31,661,264,222,4691,407,10195,574,4842,2230,2782,2480,272,308,283,215,4085,2175,1672,3831,107,5858,1922,4161,3820,309,2639,506,316,558,236,181,1721,1332,97,391,2,30,309,317,3290,506,2428,309,317,3820,506,2638,92,401,1814,1198,97,530,210,0,27,58.0,36.0,6.0,0,0,555,523,19,6,3,231,363,0,0,0,0,0,0,0,0,37,103,29,40
2020-01-31,698,263,220,4782,375,9743,525,4733,2174,2936,2328,250,335,279,264,3894,2140,1391,3842,152,5788,1794,4323,3724,381,2711,483,342,570,196,180,1818,1251,66,421,1,19,380,342,3286,483,2509,380,342,3722,483,2710,73,429,1886,1150,66,436,201,0,32,76.0,40.0,4.0,0,0,512,340,6,4,3,254,289,0,0,7,0,0,0,0,0,21,128,67,39
2020-02-29,643,300,228,4955,373,9894,584,4889,2296,2741,2096,311,443,287,304,3799,2065,1416,4175,101,6212,1935,4490,3824,315,2738,546,384,526,201,186,1702,1369,68,450,2,44,315,383,3331,547,2499,315,383,3826,547,2738,92,459,1795,1257,68,495,239,0,41,49.0,48.0,6.0,0,0,450,380,0,5,4,224,121,0,0,6,0,0,0,0,0,18,118,100,42
2020-03-31,781,279,217,5158,312,10127,500,5070,2294,2852,2228,315,417,286,303,3959,1785,1526,4221,144,6443,2077,4625,4047,326,2681,451,300,616,210,179,1694,1384,67,433,0,68,325,299,3543,451,2471,325,299,4045,451,2681,92,442,1785,1288,67,502,210,0,17,62.0,35.0,4.0,0,8,389,401,0,3,4,272,249,0,0,0,0,0,20,0,0,32,164,66,37
2020-04-30,678,272,237,4823,400,9345,544,4698,2164,3006,2144,318,415,269,300,4548,1814,1437,3933,108,5978,1936,4240,3764,297,2416,444,363,535,207,185,1631,1267,70,428,2,52,296,363,3310,444,2251,296,363,3762,444,2416,112,421,1729,1167,70,452,165,0,29,18.0,30.0,8.0,0,66,313,228,18,7,14,223,262,0,0,0,0,0,20,0,0,11,140,65,50
2020-05-31,772,279,269,5052,385,10307,588,5001,2283,2989,2414,322,413,286,350,4633,2192,1353,4085,136,6200,1980,4469,3784,333,2540,488,371,610,205,216,1722,1256,75,452,2,50,333,371,3268,489,2384,333,371,3785,489,2539,98,452,1805,1173,75,517,155,0,38,57.0,47.0,6.0,0,0,342,270,11,8,18,198,297,0,0,0,0,0,20,0,7,29,163,73,53
2020-06-30,640,267,247,4751,453,9667,628,4740,2146,3085,2284,435,421,279,521,4753,2152,1245,3927,137,5877,1813,4169,3331,338,2257,540,357,496,202,181,1690,1312,45,413,1,46,338,356,2911,540,2197,338,356,3331,540,2257,118,406,1759,1243,45,420,60,0,32,21.0,15.0,6.0,0,0,353,94,6,1,4,169,268,0,0,0,0,0,20,0,0,18,143,66,66
2020-07-31,662,245,178,5020,444,10260,450,4772,2239,2734,1953,343,430,288,344,4251,1811,1015,3970,136,5878,1771,4442,3688,347,2279,398,410,491,174,126,1791,1340,80,466,1,44,347,410,3270,398,2219,347,410,3690,398,2270,81,463,1805,1248,80,420,60,0,30,17.0,17.0,3.0,0,0,430,368,22,4,3,175,218,0,0,0,0,0,15,0,0,0,169,69,52
2020-08-31,803,287,202,4832,421,9620,594,4292,2143,3228,1960,297,394,230,281,4322,2072,1014,3785,130,5872,1957,4116,3705,317,2238,514,369,615,202,149,1656,1326,75,433,1,23,317,368,3288,514,2186,317,368,3708,514,2205,68,428,1777,1234,75,420,50,0,20,13.0,6.0,6.0,0,0,436,83,5,14,3,184,194,0,0,0,0,0,20,0,0,144,190,86,51
