dt,Цена на арматуру,Индекс стоимости грузоперевозок,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","Чугун_CFR NOLA США, $/т","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в концентрате, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в окатыши, Россия FCA руб./т, без НДС","ЖРС_Украинский концентрат Fe 65-68%,  DAP граница Украины с Европой,  $/т","ЖРС_Украинские окатыши Fe 65-66%, DAP граница Украины с Европой,  $/т",year,month,day,quarter
2015-03-16,28700.0,1000.0,4400.0,229.0,12883.0,11893.0,12812.0,58.0,285.5,4050.0,67.0,231.0,223.0,265.0,248.0,3750.0,11733.0,48.0,4700.0,8750.0,12093.0,4100.0,263.0,1345.0,2425.0,15250.0,102.0,3500.0,249.5,12140.0,4700.0,256.0,4164.0,3525.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,2015,3,16,1
2015-03-23,27800.0,1000.0,4400.0,230.0,12753.0,11945.0,12694.0,56.0,285.5,4050.0,65.0,230.0,220.0,263.0,253.0,3750.0,11540.0,46.0,4700.0,8750.0,11763.0,4100.0,263.0,1345.0,2425.0,15250.0,101.0,3500.0,249.5,12139.0,4700.0,254.0,4164.0,3525.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,2015,3,23,1
2015-03-30,27200.0,1000.0,4400.0,231.0,12521.0,11853.0,12569.0,55.0,285.5,4050.0,63.5,233.0,221.0,269.0,254.0,3750.0,11579.0,44.5,4700.0,8750.0,11719.0,4100.0,261.0,1345.0,2425.0,15250.0,98.0,3500.0,249.5,12113.0,4700.0,256.0,4164.0,3525.0,312.0,297.5,3601.0,2322.0,1267.0,23.0,64.0,101.0,77.0,125.5,2015,3,30,1
2015-04-06,26600.0,1000.0,4400.0,235.0,12395.0,11785.0,12421.0,50.0,285.5,4050.0,58.0,236.0,229.0,265.0,258.0,3750.0,11378.0,39.0,4700.0,8750.0,11250.0,4100.0,264.0,1250.0,2175.0,13250.0,95.0,3200.0,249.5,12369.0,4700.0,262.0,4941.0,3525.0,312.0,297.5,3601.0,2322.0,1267.0,23.0,64.0,101.0,77.0,125.5,2015,4,6,2
2015-04-13,25700.0,1000.0,5350.0,238.0,12220.0,11327.0,12146.0,48.0,285.5,5200.0,57.5,236.0,229.0,265.0,258.0,4400.0,11056.0,38.5,5700.0,10350.0,11327.0,4800.0,260.0,1250.0,2175.0,13250.0,92.0,3200.0,249.5,12324.0,5550.0,263.0,4941.0,3850.0,312.0,297.5,3601.0,2322.0,1267.0,23.0,64.0,101.0,77.0,125.5,2015,4,13,2
2015-04-20,24800.0,1000.0,5350.0,245.0,11830.0,11050.0,11716.0,50.0,285.5,5200.0,58.5,241.0,238.0,265.0,258.0,4400.0,10613.0,39.5,5700.0,10350.0,10555.0,4800.0,260.0,1250.0,2175.0,13250.0,90.0,3200.0,249.5,12109.0,5550.0,267.0,4941.0,3850.0,312.0,297.5,3601.0,2322.0,1267.0,23.0,64.0,101.0,77.0,125.5,2015,4,20,2
2015-04-27,24700.0,1000.0,5350.0,250.0,11083.0,11091.0,11035.0,54.0,285.5,5200.0,61.0,248.0,243.0,270.0,258.0,4400.0,10456.0,42.0,5700.0,10350.0,10066.0,4800.0,264.0,1250.0,2175.0,13250.0,88.0,3200.0,249.5,11705.0,5550.0,274.0,4941.0,3850.0,312.0,297.5,3601.0,2322.0,1267.0,23.0,64.0,101.0,77.0,125.5,2015,4,27,2
2015-05-04,24300.0,1000.0,5350.0,251.0,10714.0,11167.0,10865.0,58.0,285.5,5200.0,62.5,249.0,244.0,265.0,258.0,4400.0,9996.0,43.5,5700.0,10350.0,9758.0,4800.0,263.0,1250.0,2175.0,13250.0,86.0,3200.0,249.5,10970.0,5550.0,276.0,4925.0,3850.0,312.0,297.5,3376.0,2192.0,1051.0,23.0,64.0,101.0,77.0,125.5,2015,5,4,2
2015-05-11,23900.0,1000.0,5250.0,259.0,10558.0,11270.0,10463.0,60.0,285.5,5200.0,64.0,257.0,252.0,263.0,260.0,4400.0,9371.0,45.0,5700.0,9900.0,9432.0,4800.0,270.0,1250.0,1750.0,12750.0,82.0,2600.0,249.5,10589.0,5550.0,285.0,4925.0,3850.0,312.0,297.5,3376.0,2192.0,1051.0,23.0,64.0,101.0,77.0,125.5,2015,5,11,2
2015-05-18,24000.0,1000.0,5250.0,265.0,10269.0,10723.0,10454.0,62.0,285.5,5200.0,65.0,264.0,255.0,263.0,265.0,4400.0,9234.0,46.0,5700.0,9900.0,9386.0,4800.0,270.0,1250.0,1750.0,12750.0,82.0,2600.0,249.5,10539.0,5550.0,288.0,4925.0,3850.0,312.0,297.5,3376.0,2192.0,1051.0,23.0,64.0,101.0,77.0,125.5,2015,5,18,2
2015-05-25,23700.0,1000.0,5250.0,263.0,10042.0,9744.0,10315.0,59.0,285.5,5200.0,64.0,262.0,250.0,265.0,265.0,4400.0,8990.0,45.0,5700.0,9900.0,9290.0,4800.0,272.0,1250.0,1750.0,12750.0,81.0,2600.0,249.5,10383.0,5550.0,283.0,4925.0,3850.0,312.0,297.5,2594.0,2192.0,1051.0,23.0,64.0,101.0,77.0,125.5,2015,5,25,2
2015-06-01,23500.0,1000.0,5250.0,262.0,10075.0,9586.0,10333.0,62.0,285.5,5200.0,65.5,258.0,245.0,265.0,265.0,4400.0,8704.0,46.5,5700.0,9900.0,9299.0,4800.0,270.0,1250.0,1750.0,12750.0,82.0,2600.0,249.5,10210.0,5550.0,280.0,4925.0,3850.0,312.0,297.5,2594.0,1772.0,1170.0,22.0,64.0,101.0,77.0,125.5,2015,6,1,2
2015-06-08,23800.0,1000.0,5150.0,261.0,10485.0,9540.0,10268.0,64.0,285.5,5000.0,66.5,258.0,239.0,265.0,265.0,4250.0,8833.0,47.5,5550.0,9400.0,9318.0,4800.0,272.0,1250.0,1950.0,13000.0,83.0,2760.0,249.5,10158.0,5400.0,279.0,4838.0,3850.0,312.0,297.5,2594.0,1772.0,1170.0,22.0,64.0,101.0,77.0,125.5,2015,6,8,2
2015-06-15,24400.0,1000.0,5150.0,261.0,10468.0,8646.0,10225.0,65.0,285.5,5000.0,69.0,258.0,242.0,265.0,270.0,4250.0,8812.0,50.0,5550.0,9400.0,9319.0,4800.0,271.0,1250.0,1950.0,13000.0,85.0,2760.0,249.5,10156.0,5400.0,279.0,4838.0,3850.0,312.0,297.5,2594.0,1772.0,1170.0,22.0,64.0,101.0,77.0,125.5,2015,6,15,2
2015-06-22,25000.0,1000.0,5150.0,257.0,10488.0,8816.0,10232.0,62.0,285.5,5000.0,66.0,255.0,239.0,265.0,270.0,4250.0,8867.0,47.0,5550.0,9400.0,9334.0,4800.0,268.0,1250.0,1950.0,13000.0,87.0,2760.0,249.5,10122.0,5400.0,273.0,4838.0,3850.0,312.0,297.5,2594.0,1772.0,1170.0,22.0,64.0,101.0,77.0,125.5,2015,6,22,2
2015-06-29,25300.0,1000.0,5150.0,237.0,10482.0,8801.0,10245.0,61.0,285.5,5000.0,64.5,236.0,229.0,265.0,270.0,4250.0,8818.0,45.5,5550.0,9400.0,9432.0,4800.0,266.0,1250.0,1950.0,13000.0,88.0,2760.0,249.5,10099.0,5400.0,266.0,4838.0,3850.0,312.0,297.5,2756.0,1991.0,1180.0,22.0,64.0,101.0,77.0,125.5,2015,6,29,2
2015-07-06,25500.0,1000.0,4150.0,224.0,10605.0,8805.0,10417.0,58.0,285.5,4000.0,63.5,225.0,223.0,265.0,248.0,3300.0,8877.0,44.5,4550.0,9050.0,9599.0,4500.0,259.0,1180.0,2125.0,13000.0,87.0,3025.0,249.5,10115.0,4400.0,252.0,4108.0,3525.0,312.0,297.5,2756.0,1991.0,1180.0,22.0,64.0,101.0,77.0,125.5,2015,7,6,3
2015-07-13,25500.0,1000.0,4150.0,219.0,10791.0,8907.0,10682.0,49.0,285.5,4000.0,57.5,213.0,212.0,265.0,248.0,3300.0,8963.0,38.5,4550.0,9050.0,9943.0,4500.0,255.0,1180.0,2125.0,13000.0,87.0,3025.0,249.5,10072.0,4400.0,240.0,4108.0,3525.0,312.0,297.5,2756.0,1991.0,1180.0,22.0,64.0,101.0,77.0,125.5,2015,7,13,3
2015-07-20,25400.0,1000.0,4150.0,201.0,10867.0,8745.0,10880.0,50.0,285.5,4000.0,58.0,201.0,194.0,265.0,231.0,3300.0,8993.0,39.0,4550.0,9050.0,10141.0,4500.0,245.0,1180.0,2125.0,13000.0,84.0,3025.0,249.5,10014.0,4400.0,225.0,4108.0,3525.0,312.0,297.5,2756.0,1991.0,1180.0,22.0,64.0,101.0,77.0,125.5,2015,7,20,3
2015-07-27,25200.0,1000.0,4150.0,201.0,10996.0,8646.0,10883.0,52.0,285.5,4000.0,59.0,201.0,203.0,265.0,225.0,3300.0,8939.0,40.0,4550.0,9050.0,10141.0,4500.0,245.0,1180.0,2125.0,13000.0,80.0,3025.0,249.5,10013.0,4400.0,227.0,4108.0,3525.0,312.0,297.5,3008.0,2144.0,1093.0,21.0,64.0,101.0,77.0,125.5,2015,7,27,3
2015-08-03,25000.0,1000.0,4150.0,208.0,11068.0,8896.0,10838.0,54.0,285.5,4000.0,61.5,205.0,208.0,265.0,218.0,3300.0,8830.0,42.5,4550.0,9050.0,10143.0,4500.0,240.0,1180.0,1900.0,13000.0,79.0,2750.0,249.5,9974.0,4400.0,233.0,4108.0,3525.0,312.0,297.5,3008.0,2144.0,1093.0,21.0,64.0,101.0,77.0,125.5,2015,8,3,3
2015-08-10,24700.0,1000.0,4150.0,215.0,11059.0,8990.0,10840.0,56.0,285.5,4000.0,63.5,211.0,208.0,255.0,218.0,3300.0,8770.0,43.5,4550.0,8800.0,10087.0,4200.0,245.0,1155.0,1900.0,13000.0,83.0,2750.0,249.5,9934.0,4400.0,240.0,4001.0,3300.0,312.0,297.5,3008.0,2144.0,1093.0,21.0,64.0,101.0,77.0,125.5,2015,8,10,3
2015-08-17,24400.0,1000.0,4150.0,211.0,11078.0,9007.0,10823.0,56.0,285.5,4000.0,63.5,215.0,212.0,255.0,220.0,3300.0,8755.0,43.5,4550.0,8800.0,10106.0,4200.0,245.0,1155.0,1900.0,13000.0,83.0,2750.0,249.5,9960.0,4400.0,243.0,4001.0,3300.0,312.0,297.5,3008.0,2144.0,1093.0,21.0,64.0,101.0,77.0,125.5,2015,8,17,3
2015-08-24,24100.0,1000.0,4150.0,204.0,11010.0,8863.0,10853.0,56.0,285.5,4000.0,63.5,210.0,212.0,250.0,220.0,3300.0,8795.0,43.5,4550.0,8800.0,10137.0,4200.0,240.0,1155.0,1900.0,13000.0,81.0,2750.0,249.5,9953.0,4400.0,236.0,4001.0,3300.0,312.0,297.5,3008.0,2144.0,1093.0,21.0,64.0,101.0,77.0,125.5,2015,8,24,3
2015-08-31,24100.0,1000.0,4150.0,211.0,11044.0,9086.0,10841.0,54.0,285.5,4000.0,62.5,215.0,207.0,248.0,220.0,3300.0,8862.0,42.0,4550.0,8800.0,10178.0,4200.0,235.0,1155.0,1900.0,13000.0,81.0,2750.0,249.5,10004.0,4400.0,231.0,4001.0,3300.0,312.0,297.5,2745.0,1910.0,1098.0,21.0,64.0,101.0,77.0,125.5,2015,8,31,3
2015-09-07,23900.0,1000.0,4150.0,201.0,11159.0,9299.0,10961.0,56.0,285.5,4000.0,63.5,200.0,202.0,236.0,210.0,3300.0,8939.0,43.0,4550.0,8800.0,10233.0,4200.0,230.0,1155.0,2000.0,14000.0,81.0,2900.0,249.5,10232.0,4400.0,220.0,4001.0,3300.0,312.0,297.5,2745.0,1910.0,1098.0,21.0,64.0,101.0,77.0,125.5,2015,9,7,3
2015-09-14,24200.0,1000.0,4150.0,184.0,11210.0,9282.0,10946.0,58.0,285.5,4000.0,64.5,189.0,183.0,236.0,205.0,3300.0,8923.0,44.0,4550.0,8800.0,10212.0,4200.0,210.0,1155.0,2000.0,14000.0,81.0,2900.0,249.5,10374.0,4400.0,206.0,4001.0,3300.0,312.0,297.5,2745.0,1910.0,1098.0,21.0,64.0,101.0,77.0,125.5,2015,9,14,3
2015-09-21,24200.0,1000.0,4150.0,180.0,11237.0,9206.0,10949.0,57.0,285.5,4000.0,64.0,188.0,181.0,236.0,205.0,3300.0,8887.0,43.0,4550.0,8800.0,10201.0,4200.0,210.0,1155.0,2000.0,14000.0,81.0,2900.0,249.5,10411.0,4400.0,202.0,4001.0,3300.0,312.0,297.5,2745.0,1910.0,1098.0,21.0,64.0,101.0,77.0,125.5,2015,9,21,3
2015-09-28,24000.0,1000.0,4150.0,170.0,11367.0,9585.0,10718.0,57.0,285.5,4000.0,64.0,178.0,172.0,231.0,198.0,3300.0,8969.0,43.0,4550.0,8800.0,10024.0,4200.0,205.0,1155.0,2000.0,14000.0,80.0,2900.0,249.5,10458.0,4400.0,194.0,4001.0,3300.0,312.0,297.5,2949.0,2018.0,1107.0,22.0,64.0,101.0,77.0,125.5,2015,9,28,3
2015-10-05,24000.0,1000.0,4150.0,165.0,11357.0,9553.0,10670.0,55.0,285.5,4000.0,62.0,175.0,165.0,216.0,188.0,3300.0,9209.0,41.0,4550.0,8800.0,10043.0,4200.0,195.0,1155.0,2150.0,14000.0,79.0,3225.0,249.5,10474.0,4400.0,187.0,4001.0,3300.0,312.0,297.5,2949.0,2018.0,1107.0,22.0,64.0,101.0,77.0,125.5,2015,10,5,4
2015-10-12,23800.0,1000.0,4375.0,154.0,11310.0,9574.0,10531.0,55.0,285.5,4200.0,62.0,167.0,163.0,216.0,183.0,3450.0,9382.0,41.0,4750.0,9100.0,9928.0,4650.0,190.0,1155.0,2150.0,14000.0,80.0,3225.0,249.5,10552.0,5000.0,178.0,4335.0,3800.0,312.0,297.5,2949.0,2018.0,1107.0,22.0,64.0,101.0,77.0,125.5,2015,10,12,4
2015-10-19,23800.0,1000.0,4375.0,153.0,11182.0,9554.0,10400.0,55.0,285.5,4200.0,62.0,159.0,154.0,205.0,183.0,3450.0,9316.0,41.0,4750.0,9100.0,9746.0,4650.0,175.0,1155.0,2150.0,14000.0,79.0,3225.0,249.5,10620.0,5000.0,170.0,4335.0,3800.0,312.0,297.5,2949.0,2018.0,1107.0,22.0,64.0,101.0,77.0,125.5,2015,10,19,4
2015-10-26,24200.0,1000.0,4375.0,154.0,11052.0,9582.0,10384.0,52.0,285.5,4200.0,59.0,158.0,151.0,189.0,173.0,3450.0,9354.0,38.5,4750.0,9100.0,9679.0,4650.0,180.0,1155.0,2150.0,14000.0,78.0,3225.0,249.5,10652.0,5000.0,173.0,4335.0,3800.0,312.0,297.5,3307.0,2178.0,1099.0,22.0,64.0,101.0,77.0,125.5,2015,10,26,4
2015-11-02,24500.0,1000.0,4375.0,167.0,10624.0,9485.0,10008.0,50.0,285.5,4200.0,58.0,164.0,158.0,189.0,173.0,3450.0,9444.0,37.5,4750.0,9100.0,9242.0,4650.0,185.0,1155.0,2150.0,14000.0,77.0,3225.0,249.5,10625.0,5000.0,186.0,4335.0,3800.0,312.0,297.5,3307.0,2178.0,1099.0,22.0,64.0,101.0,77.0,125.5,2015,11,2,4
2015-11-09,24500.0,1000.0,4375.0,174.0,10529.0,9195.0,9850.0,48.0,285.5,4200.0,59.5,178.0,166.0,181.0,173.0,3450.0,9236.0,42.5,4750.0,9000.0,8991.0,4650.0,185.0,1155.0,2150.0,11000.0,76.0,3225.0,249.5,10437.0,5000.0,195.0,4335.0,3800.0,312.0,297.5,3307.0,2178.0,1099.0,22.0,64.0,101.0,77.0,125.5,2015,11,9,4
2015-11-16,23950.0,1000.0,4375.0,182.0,10142.0,8938.0,9541.0,48.0,285.5,4200.0,57.5,180.0,175.0,181.0,173.0,3450.0,9053.0,40.5,4750.0,9000.0,8618.0,4650.0,190.0,1155.0,2150.0,11000.0,74.0,3225.0,249.5,10356.0,5000.0,200.0,4335.0,3800.0,312.0,297.5,3307.0,2178.0,1099.0,22.0,64.0,101.0,77.0,125.5,2015,11,16,4
2015-11-23,23750.0,1000.0,4375.0,181.0,9428.0,8844.0,9154.0,46.0,285.5,4200.0,54.5,179.0,173.0,181.0,173.0,3450.0,8416.0,37.5,4750.0,9000.0,8259.0,4650.0,190.0,1155.0,2150.0,11000.0,73.0,3225.0,249.5,9808.0,5000.0,196.0,4335.0,3800.0,312.0,297.5,3307.0,2178.0,1099.0,22.0,64.0,101.0,77.0,125.5,2015,11,23,4
2015-11-30,23100.0,1000.0,4375.0,180.0,9133.0,8878.0,9052.0,44.0,285.5,4200.0,51.5,179.0,168.0,183.0,173.0,3450.0,8036.0,34.5,4750.0,9000.0,8160.0,4650.0,185.0,1155.0,2150.0,11000.0,72.0,3225.0,249.5,9381.0,5000.0,191.0,4335.0,3800.0,312.0,297.5,3150.0,2112.0,1125.0,22.0,64.0,101.0,77.0,125.5,2015,11,30,4
2015-12-07,22800.0,1000.0,4375.0,176.0,9103.0,8660.0,9138.0,41.0,285.5,4200.0,52.5,178.0,163.0,183.0,173.0,3450.0,8002.0,37.5,4750.0,9000.0,8112.0,4650.0,180.0,1155.0,1925.0,11000.0,74.0,2825.0,249.5,9350.0,5000.0,190.0,4335.0,3800.0,312.0,297.5,3150.0,2112.0,1125.0,22.0,64.0,101.0,77.0,125.5,2015,12,7,4
2015-12-14,22000.0,1000.0,4375.0,176.0,9143.0,8330.0,9142.0,39.0,285.5,4200.0,50.5,178.0,161.0,183.0,173.0,3450.0,8067.0,35.5,4750.0,9000.0,8115.0,4650.0,180.0,1155.0,1925.0,11000.0,75.0,2825.0,249.5,9326.0,5000.0,187.0,4335.0,3800.0,312.0,297.5,3150.0,2112.0,1125.0,22.0,64.0,101.0,77.0,125.5,2015,12,14,4
2015-12-21,21700.0,1000.0,4375.0,174.0,9268.0,8016.0,9135.0,39.0,285.5,4200.0,51.5,175.0,160.0,183.0,173.0,3450.0,7813.0,36.5,4750.0,9000.0,8050.0,4650.0,180.0,1155.0,1925.0,11000.0,75.0,2825.0,249.5,8888.0,5000.0,187.0,4335.0,3800.0,312.0,297.5,3150.0,2112.0,1125.0,22.0,64.0,101.0,77.0,125.5,2015,12,21,4
