,dt,Цена на арматуру,year,month,day,week,lag_1,lag_2
171,2018-04-16,35900,2018,4,16,16,36100.0,36100.0
172,2018-04-23,35900,2018,4,23,17,35900.0,36100.0
173,2018-04-30,36400,2018,4,30,18,35900.0,35900.0
174,2018-05-07,37900,2018,5,7,19,36400.0,35900.0
175,2018-05-14,37700,2018,5,14,20,37900.0,36400.0
176,2018-05-21,37900,2018,5,21,21,37700.0,37900.0
177,2018-05-28,37900,2018,5,28,22,37900.0,37700.0
178,2018-06-04,37600,2018,6,4,23,37900.0,37900.0
179,2018-06-11,37400,2018,6,11,24,37600.0,37900.0
180,2018-06-18,37400,2018,6,18,25,37400.0,37600.0
181,2018-06-25,37100,2018,6,25,26,37400.0,37400.0
182,2018-07-02,37100,2018,7,2,27,37100.0,37400.0
183,2018-07-09,37200,2018,7,9,28,37100.0,37100.0
184,2018-07-16,37800,2018,7,16,29,37200.0,37100.0
185,2018-07-23,37500,2018,7,23,30,37800.0,37200.0
186,2018-07-30,37500,2018,7,30,31,37500.0,37800.0
187,2018-08-06,39400,2018,8,6,32,37500.0,37500.0
188,2018-08-13,39650,2018,8,13,33,39400.0,37500.0
189,2018-08-20,40750,2018,8,20,34,39650.0,39400.0
190,2018-08-27,43100,2018,8,27,35,40750.0,39650.0
191,2018-09-03,48700,2018,9,3,36,43100.0,40750.0
192,2018-09-10,48850,2018,9,10,37,48700.0,43100.0
193,2018-09-17,48350,2018,9,17,38,48850.0,48700.0
194,2018-09-24,44600,2018,9,24,39,48350.0,48850.0
195,2018-10-01,42600,2018,10,1,40,44600.0,48350.0
196,2018-10-08,41500,2018,10,8,41,42600.0,44600.0
197,2018-10-15,40800,2018,10,15,42,41500.0,42600.0
198,2018-10-22,39700,2018,10,22,43,40800.0,41500.0
199,2018-10-29,39500,2018,10,29,44,39700.0,40800.0
200,2018-11-05,38800,2018,11,5,45,39500.0,39700.0
201,2018-11-12,38300,2018,11,12,46,38800.0,39500.0
202,2018-11-19,38000,2018,11,19,47,38300.0,38800.0
203,2018-11-26,37600,2018,11,26,48,38000.0,38300.0
204,2018-12-03,37600,2018,12,3,49,37600.0,38000.0
205,2018-12-10,37300,2018,12,10,50,37600.0,37600.0
206,2018-12-17,37000,2018,12,17,51,37300.0,37600.0
207,2018-12-24,36700,2018,12,24,52,37000.0,37300.0
208,2018-12-31,36000,2018,12,31,1,36700.0,37000.0
209,2019-01-07,36000,2019,1,7,2,36000.0,36700.0
210,2019-01-14,35700,2019,1,14,3,36000.0,36000.0
211,2019-01-21,35300,2019,1,21,4,35700.0,36000.0
212,2019-01-28,34000,2019,1,28,5,35300.0,35700.0
213,2019-02-04,33800,2019,2,4,6,34000.0,35300.0
214,2019-02-11,34550,2019,2,11,7,33800.0,34000.0
215,2019-02-18,36000,2019,2,18,8,34550.0,33800.0
216,2019-02-25,37700,2019,2,25,9,36000.0,34550.0
217,2019-03-04,40200,2019,3,4,10,37700.0,36000.0
218,2019-03-11,40200,2019,3,11,11,40200.0,37700.0
219,2019-03-18,39900,2019,3,18,12,40200.0,40200.0
220,2019-03-25,39400,2019,3,25,13,39900.0,40200.0
221,2019-04-01,39300,2019,4,1,14,39400.0,39900.0
222,2019-04-08,39500,2019,4,8,15,39300.0,39400.0
223,2019-04-15,39500,2019,4,15,16,39500.0,39300.0
224,2019-04-22,39300,2019,4,22,17,39500.0,39500.0
225,2019-04-29,39300,2019,4,29,18,39300.0,39500.0
226,2019-05-06,39300,2019,5,6,19,39300.0,39300.0
227,2019-05-13,40300,2019,5,13,20,39300.0,39300.0
228,2019-05-20,40000,2019,5,20,21,40300.0,39300.0
229,2019-05-27,40200,2019,5,27,22,40000.0,40300.0
230,2019-06-03,40200,2019,6,3,23,40200.0,40000.0
231,2019-06-10,40300,2019,6,10,24,40200.0,40200.0
232,2019-06-17,41500,2019,6,17,25,40300.0,40200.0
233,2019-06-24,40500,2019,6,24,26,41500.0,40300.0
234,2019-07-01,40500,2019,7,1,27,40500.0,41500.0
235,2019-07-08,40300,2019,7,8,28,40500.0,40500.0
236,2019-07-15,39800,2019,7,15,29,40300.0,40500.0
237,2019-07-22,39800,2019,7,22,30,39800.0,40300.0
238,2019-07-29,40200,2019,7,29,31,39800.0,39800.0
239,2019-08-05,40300,2019,8,5,32,40200.0,39800.0
240,2019-08-12,39200,2019,8,12,33,40300.0,40200.0
241,2019-08-19,38700,2019,8,19,34,39200.0,40300.0
242,2019-08-26,38200,2019,8,26,35,38700.0,39200.0
243,2019-09-02,37700,2019,9,2,36,38200.0,38700.0
244,2019-09-09,36900,2019,9,9,37,37700.0,38200.0
245,2019-09-16,36200,2019,9,16,38,36900.0,37700.0
246,2019-09-23,35000,2019,9,23,39,36200.0,36900.0
247,2019-09-30,34200,2019,9,30,40,35000.0,36200.0
248,2019-10-07,33500,2019,10,7,41,34200.0,35000.0
249,2019-10-14,33300,2019,10,14,42,33500.0,34200.0
250,2019-10-21,33500,2019,10,21,43,33300.0,33500.0
251,2019-10-28,33300,2019,10,28,44,33500.0,33300.0
252,2019-11-04,33800,2019,11,4,45,33300.0,33500.0
253,2019-11-11,33500,2019,11,11,46,33800.0,33300.0
254,2019-11-18,32300,2019,11,18,47,33500.0,33800.0
255,2019-11-25,32200,2019,11,25,48,32300.0,33500.0
256,2019-12-02,31800,2019,12,2,49,32200.0,32300.0
257,2019-12-09,31100,2019,12,9,50,31800.0,32200.0
258,2019-12-16,30600,2019,12,16,51,31100.0,31800.0
259,2019-12-23,31400,2019,12,23,52,30600.0,31100.0
260,2019-12-30,32900,2019,12,30,1,31400.0,30600.0
261,2020-01-06,32900,2020,1,6,2,32900.0,31400.0
262,2020-01-13,33400,2020,1,13,3,32900.0,32900.0
263,2020-01-20,32500,2020,1,20,4,33400.0,32900.0
264,2020-01-27,32890,2020,1,27,5,32500.0,33400.0
265,2020-02-03,33400,2020,2,3,6,32890.0,32500.0
266,2020-02-10,32800,2020,2,10,7,33400.0,32890.0
267,2020-02-17,32000,2020,2,17,8,32800.0,33400.0
268,2020-02-24,31500,2020,2,24,9,32000.0,32800.0
269,2020-03-02,32500,2020,3,2,10,31500.0,32000.0
270,2020-03-09,33500,2020,3,9,11,32500.0,31500.0
271,2020-03-16,34000,2020,3,16,12,33500.0,32500.0
272,2020-03-23,35000,2020,3,23,13,34000.0,33500.0
273,2020-03-30,35000,2020,3,30,14,35000.0,34000.0
274,2020-04-06,34500,2020,4,6,15,35000.0,35000.0
275,2020-04-13,34000,2020,4,13,16,34500.0,35000.0
276,2020-04-20,33500,2020,4,20,17,34000.0,34500.0
277,2020-04-27,33500,2020,4,27,18,33500.0,34000.0
278,2020-05-04,33500,2020,5,4,19,33500.0,33500.0
279,2020-05-11,33500,2020,5,11,20,33500.0,33500.0
280,2020-05-18,33500,2020,5,18,21,33500.0,33500.0
281,2020-05-25,33500,2020,5,25,22,33500.0,33500.0
282,2020-06-01,33000,2020,6,1,23,33500.0,33500.0
283,2020-06-08,33000,2020,6,8,24,33000.0,33500.0
284,2020-06-15,33000,2020,6,15,25,33000.0,33000.0
285,2020-06-22,33700,2020,6,22,26,33000.0,33000.0
286,2020-06-29,34500,2020,6,29,27,33700.0,33000.0
287,2020-07-06,34500,2020,7,6,28,34500.0,33700.0
288,2020-07-13,35000,2020,7,13,29,34500.0,34500.0
289,2020-07-20,35000,2020,7,20,30,35000.0,34500.0
290,2020-07-27,35100,2020,7,27,31,35000.0,35000.0
291,2020-08-03,35100,2020,8,3,32,35100.0,35000.0
292,2020-08-10,35200,2020,8,10,33,35100.0,35100.0
293,2020-08-17,35500,2020,8,17,34,35200.0,35100.0
294,2020-08-24,36500,2020,8,24,35,35500.0,35200.0
295,2020-08-31,37200,2020,8,31,36,36500.0,35500.0
296,2020-09-07,37500,2020,9,7,37,37200.0,36500.0
297,2020-09-14,37500,2020,9,14,38,37500.0,37200.0
298,2020-09-21,38000,2020,9,21,39,37500.0,37500.0
299,2020-09-28,38500,2020,9,28,40,38000.0,37500.0
300,2020-10-05,39500,2020,10,5,41,38500.0,38000.0
301,2020-10-12,40000,2020,10,12,42,39500.0,38500.0
302,2020-10-19,39500,2020,10,19,43,40000.0,39500.0
303,2020-10-26,39500,2020,10,26,44,39500.0,40000.0
304,2020-11-02,39500,2020,11,2,45,39500.0,39500.0
305,2020-11-09,39500,2020,11,9,46,39500.0,39500.0
306,2020-11-16,39500,2020,11,16,47,39500.0,39500.0
307,2020-11-23,39500,2020,11,23,48,39500.0,39500.0
308,2020-11-30,41500,2020,11,30,49,39500.0,39500.0
309,2020-12-07,42500,2020,12,7,50,41500.0,39500.0
310,2020-12-14,51000,2020,12,14,51,42500.0,41500.0
311,2020-12-21,58000,2020,12,21,52,51000.0,42500.0
312,2020-12-28,61000,2020,12,28,53,58000.0,51000.0
313,2021-01-04,61000,2021,1,4,1,61000.0,58000.0
314,2021-01-11,61000,2021,1,11,2,61000.0,61000.0
315,2021-01-18,62000,2021,1,18,3,61000.0,61000.0
316,2021-01-25,62000,2021,1,25,4,62000.0,61000.0
317,2021-02-01,59000,2021,2,1,5,62000.0,62000.0
318,2021-02-08,55000,2021,2,8,6,59000.0,62000.0
319,2021-02-15,51500,2021,2,15,7,55000.0,59000.0
320,2021-02-22,48500,2021,2,22,8,51500.0,55000.0
321,2021-03-01,48000,2021,3,1,9,48500.0,51500.0
322,2021-03-08,49000,2021,3,8,10,48000.0,48500.0
323,2021-03-15,50500,2021,3,15,11,49000.0,48000.0
324,2021-03-22,50800,2021,3,22,12,50500.0,49000.0
325,2021-03-29,51500,2021,3,29,13,50800.0,50500.0
326,2021-04-05,53500,2021,4,5,14,51500.0,50800.0
327,2021-04-12,54500,2021,4,12,15,53500.0,51500.0
328,2021-04-19,58500,2021,4,19,16,54500.0,53500.0
329,2021-04-26,60500,2021,4,26,17,58500.0,54500.0
330,2021-05-03,62500,2021,5,3,18,60500.0,58500.0
331,2021-05-10,63500,2021,5,10,19,62500.0,60500.0
332,2021-05-17,67000,2021,5,17,20,63500.0,62500.0
333,2021-05-24,71900,2021,5,24,21,67000.0,63500.0
334,2021-05-31,71900,2021,5,31,22,71900.0,67000.0
335,2021-06-07,72500,2021,6,7,23,71900.0,71900.0
336,2021-06-14,74000,2021,6,14,24,72500.0,71900.0
337,2021-06-21,74000,2021,6,21,25,74000.0,72500.0
338,2021-06-28,74000,2021,6,28,26,74000.0,74000.0
339,2021-07-05,74000,2021,7,5,27,74000.0,74000.0
340,2021-07-12,73500,2021,7,12,28,74000.0,74000.0
341,2021-07-19,72500,2021,7,19,29,73500.0,74000.0
342,2021-07-26,71500,2021,7,26,30,72500.0,73500.0
343,2021-08-02,69500,2021,8,2,31,71500.0,72500.0
344,2021-08-09,66000,2021,8,9,32,69500.0,71500.0
345,2021-08-16,65000,2021,8,16,33,66000.0,69500.0
346,2021-08-23,63500,2021,8,23,34,65000.0,66000.0
347,2021-08-30,62000,2021,8,30,35,63500.0,65000.0
348,2021-09-06,59000,2021,9,6,36,62000.0,63500.0
349,2021-09-13,56500,2021,9,13,37,59000.0,62000.0
350,2021-09-20,55000,2021,9,20,38,56500.0,59000.0
351,2021-09-27,54000,2021,9,27,39,55000.0,56500.0
352,2021-10-04,56800,2021,10,4,40,54000.0,55000.0
353,2021-10-11,59000,2021,10,11,41,56800.0,54000.0
354,2021-10-18,64000,2021,10,18,42,59000.0,56800.0
355,2021-10-25,73000,2021,10,25,43,64000.0,59000.0
356,2021-11-01,77000,2021,11,1,44,73000.0,64000.0
357,2021-11-08,79000,2021,11,8,45,77000.0,73000.0
358,2021-11-15,78000,2021,11,15,46,79000.0,77000.0
359,2021-11-22,72500,2021,11,22,47,78000.0,79000.0
360,2021-11-29,64000,2021,11,29,48,72500.0,78000.0
361,2021-12-06,61500,2021,12,6,49,64000.0,72500.0
362,2021-12-13,60500,2021,12,13,50,61500.0,64000.0
363,2021-12-20,61500,2021,12,20,51,60500.0,61500.0
364,2021-12-27,62500,2021,12,27,52,61500.0,60500.0
365,2022-01-03,63500,2022,1,3,1,62500.0,61500.0
366,2022-01-10,63500,2022,1,10,2,63500.0,62500.0
367,2022-01-17,63700,2022,1,17,3,63500.0,63500.0
368,2022-01-24,62500,2022,1,24,4,63700.0,63500.0
369,2022-01-31,62900,2022,1,31,5,62500.0,63700.0
370,2022-02-07,65000,2022,2,7,6,62900.0,62500.0
371,2022-02-14,65500,2022,2,14,7,65000.0,62900.0
372,2022-02-21,69000,2022,2,21,8,65500.0,65000.0
373,2022-02-28,78000,2022,2,28,9,69000.0,65500.0
374,2022-03-07,77000,2022,3,7,10,78000.0,69000.0
375,2022-03-14,74000,2022,3,14,11,77000.0,78000.0
376,2022-03-21,67000,2022,3,21,12,74000.0,77000.0
377,2022-03-28,69500,2022,3,28,13,67000.0,74000.0
378,2022-04-04,69500,2022,4,4,14,69500.0,67000.0
379,2022-04-11,67500,2022,4,11,15,69500.0,69500.0
380,2022-04-18,64000,2022,4,18,16,67500.0,69500.0
381,2022-04-25,61500,2022,4,25,17,64000.0,67500.0
382,2022-05-02,58000,2022,5,2,18,61500.0,64000.0
383,2022-05-09,56000,2022,5,9,19,58000.0,61500.0
384,2022-05-16,54000,2022,5,16,20,56000.0,58000.0
385,2022-05-23,50000,2022,5,23,21,54000.0,56000.0
386,2022-05-30,46000,2022,5,30,22,50000.0,54000.0
387,2022-06-06,43500,2022,6,6,23,46000.0,50000.0
388,2022-06-13,42000,2022,6,13,24,43500.0,46000.0
389,2022-06-20,43000,2022,6,20,25,42000.0,43500.0
390,2022-06-27,44000,2022,6,27,26,43000.0,42000.0
391,2022-07-04,45000,2022,7,4,27,44000.0,43000.0
392,2022-07-11,45500,2022,7,11,28,45000.0,44000.0
393,2022-07-18,47000,2022,7,18,29,45500.0,45000.0
394,2022-07-25,47500,2022,7,25,30,47000.0,45500.0
395,2022-08-01,47500,2022,8,1,31,47500.0,47000.0
396,2022-08-08,49000,2022,8,8,32,47500.0,47500.0
397,2022-08-15,47500,2022,8,15,33,49000.0,47500.0
398,2022-08-22,46500,2022,8,22,34,47500.0,49000.0
399,2022-08-29,46000,2022,8,29,35,46500.0,47500.0
400,2022-09-05,46000,2022,9,5,36,46000.0,46500.0
401,2022-09-12,46000,2022,9,12,37,46000.0,46000.0
402,2022-09-19,46000,2022,9,19,38,46000.0,46000.0
403,2022-09-26,45500,2022,9,26,39,46000.0,46000.0
404,2022-10-03,45500,2022,10,3,40,45500.0,46000.0
405,2022-10-10,45000,2022,10,10,41,45500.0,45500.0
406,2022-10-17,44000,2022,10,17,42,45000.0,45500.0
407,2022-10-24,43000,2022,10,24,43,44000.0,45000.0
408,2022-10-31,42000,2022,10,31,44,43000.0,44000.0
409,2022-11-07,41500,2022,11,7,45,42000.0,43000.0
410,2022-11-14,41000,2022,11,14,46,41500.0,42000.0
411,2022-11-21,40000,2022,11,21,47,41000.0,41500.0
412,2022-11-28,40000,2022,11,28,48,40000.0,41000.0
413,2022-12-05,40500,2022,12,5,49,40000.0,40000.0
414,2022-12-12,41700,2022,12,12,50,40500.0,40000.0
415,2022-12-19,41700,2022,12,19,51,41700.0,40500.0
416,2022-12-26,42500,2022,12,26,52,41700.0,41700.0
417,2023-01-02,42700,2023,1,2,1,42500.0,41700.0
418,2023-01-09,42700,2023,1,9,2,42700.0,42500.0
419,2023-01-16,42700,2023,1,16,3,42700.0,42700.0
420,2023-01-23,42800,2023,1,23,4,42700.0,42700.0
421,2023-01-30,42800,2023,1,30,5,42800.0,42700.0
422,2023-02-06,44500,2023,2,6,6,42800.0,42800.0
423,2023-02-13,44500,2023,2,13,7,44500.0,42800.0
424,2023-02-20,46000,2023,2,20,8,44500.0,44500.0
425,2023-02-27,49200,2023,2,27,9,46000.0,44500.0
426,2023-03-06,53700,2023,3,6,10,49200.0,46000.0
427,2023-03-13,55500,2023,3,13,11,53700.0,49200.0
